Number,Issuer,Coupon,Maturity, Price ,YTM,S&Prating,Basis,Frequency
1,3M,0.0388,6/15/2044,80.43,0.0554,BBB+,0,2
2,7-Eleven,0.0280,2/10/2051,58.84,0.0593,A,0,2
3,Abbott Labs,0.0600,4/1/2039,110.25,0.0497,AA-,0,2
4,Abbvie,0.0430,5/14/2036,94.40,0.0496,A-,0,2
5,Aflac,0.0475,1/15/2049,87.35,0.0573,A-,0,2
6,Royal Bank of Canada,0.0625,11/30/2033,100.71,0.0522,A,0,2
7,Wells Fargo,0.0620,11/15/2028,100.31,0.0404,BBB+,0,2
8,Waste Management ,0.0115,3/15/2028,91.99,0.0406,A-,0,2
9,Warner Media Holdings,0.0405,3/15/2029,92.56,0.0555,BBB-,0,2
10,Walmart,0.0400,4/15/2030,99.91,0.0401,AA ,0,2
